City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,2022-02-13 04:01:48,69.7008,170.3133,-18.72,97,100,8.01
1,Cidreira,BR,2022-02-13 04:03:03,-30.1811,-50.2056,73.71,81,71,19.37
2,Mar Del Plata,AR,2022-02-13 04:06:32,-38.0023,-57.5575,58.87,78,0,3.44
3,Klaksvik,FO,2022-02-13 04:06:12,62.2266,-6.589,38.32,98,100,37.27
4,Connersville,US,2022-02-13 04:06:33,39.6412,-85.1411,24.66,74,70,7.0
5,Vaini,TO,2022-02-13 04:02:01,-21.2,-175.2,81.27,76,72,17.74
6,Mataura,NZ,2022-02-13 04:06:34,-46.1927,168.8643,51.48,96,100,4.0
7,Salalah,OM,2022-02-13 04:06:35,17.0151,54.0924,73.49,64,75,4.61
8,Huarmey,PE,2022-02-13 03:58:03,-10.0681,-78.1522,71.87,79,71,7.56
9,Gat,IL,2022-02-13 04:03:02,31.61,34.7642,54.39,18,0,0.85
10,Bredasdorp,ZA,2022-02-13 04:04:14,-34.5322,20.0403,65.28,83,75,1.16
11,Thompson,CA,2022-02-13 04:01:53,55.7435,-97.8558,-25.76,100,21,2.89
12,Punta Arenas,CL,2022-02-13 04:04:04,-53.15,-70.9167,55.51,62,0,12.66
13,Sorland,NO,2022-02-13 04:06:36,67.667,12.6934,31.53,85,100,5.35
14,Atuona,PF,2022-02-13 04:01:51,-9.8,-139.0333,78.1,77,18,13.27
15,Kampot,KH,2022-02-13 04:06:37,10.6167,104.1833,86.05,57,22,8.37
16,Hithadhoo,MV,2022-02-13 04:06:38,-0.6,73.0833,81.46,71,62,10.49
17,Tessaoua,NE,2022-02-13 04:06:39,13.7574,7.9874,60.15,14,1,10.0
18,Kaeo,NZ,2022-02-13 04:06:40,-35.1,173.7833,75.33,69,4,13.11
19,Ushuaia,AR,2022-02-13 04:01:41,-54.8,-68.3,43.27,72,98,7.67
20,Baker City,US,2022-02-13 04:06:40,44.7749,-117.8344,33.58,89,0,5.75
21,Kavieng,PG,2022-02-13 04:06:42,-2.5744,150.7967,82.49,73,100,4.61
22,Ninohe,JP,2022-02-13 04:06:43,40.2724,141.3061,34.63,67,86,11.07
